from,to,mode,base_time_sec,max_speed_kph,district,cost,co2_per_km
J01,BS01,WALK,120,5,MASJID_JAMEK,0.0,0.0
BS01,J01,WALK,120,5,MASJID_JAMEK,0.0,0.0
J01,J09,WALK,300,5,MASJID_JAMEK,0.0,0.0
J09,J01,WALK,300,5,CENTRAL_MARKET,0.0,0.0
J01,J06,WALK,400,5,MASJID_JAMEK,0.0,0.0
J06,J01,WALK,400,5,MERDEKA,0.0,0.0
J01,J05,WALK,350,5,MASJID_JAMEK,0.0,0.0
J05,J01,WALK,350,5,PASAR_SENI,0.0,0.0
J09,BS09,WALK,120,5,CENTRAL_MARKET,0.0,0.0
BS09,J09,WALK,120,5,CENTRAL_MARKET,0.0,0.0
J05,BS05,WALK,120,5,PASAR_SENI,0.0,0.0
BS05,J05,WALK,120,5,PASAR_SENI,0.0,0.0
J05,TS04,WALK,120,5,PASAR_SENI,0.0,0.0
TS04,J05,WALK,120,5,PASAR_SENI,0.0,0.0
J07,BS07,WALK,120,5,CHINATOWN,0.0,0.0
BS07,J07,WALK,120,5,CHINATOWN,0.0,0.0
J06,BS06,WALK,120,5,MERDEKA,0.0,0.0
BS06,J06,WALK,120,5,MERDEKA,0.0,0.0
J06,TS05,WALK,120,5,MERDEKA,0.0,0.0
TS05,J06,WALK,120,5,MERDEKA,0.0,0.0
J02,BS02,WALK,120,5,BUKIT_BINTANG,0.0,0.0
BS02,J02,WALK,120,5,BUKIT_BINTANG,0.0,0.0
J02,TS02,WALK,120,5,BUKIT_BINTANG,0.0,0.0
TS02,J02,WALK,120,5,BUKIT_BINTANG,0.0,0.0
J03,BS03,WALK,120,5,KLCC,0.0,0.0
BS03,J03,WALK,120,5,KLCC,0.0,0.0
J03,TS01,WALK,120,5,KLCC,0.0,0.0
TS01,J03,WALK,120,5,KLCC,0.0,0.0
J04,BS04,WALK,120,5,KL_SENTRAL,0.0,0.0
BS04,J04,WALK,120,5,KL_SENTRAL,0.0,0.0
J04,TS03,WALK,120,5,KL_SENTRAL,0.0,0.0
