from,to,mode,base_time_sec,max_speed_kph,district,cost,co2_per_km
BA99,JC50,CAR,56,50,DSTRCT9,1.18,0.20
JC38,BA73,CAR,17,74,DSTRCT8,0.55,0.20
BA39,TC99,CAR,97,50,DSTRCT4,2.03,0.20
BB74,BA90,BUS,207,33,DSTRCT7,1.52,0.08
JC01,BB26,BUS,329,23,DSTRCT3,1.68,0.08
TC50,JD05,BUS,381,20,DSTRCT5,1.70,0.08
JC06,JD60,CAR,296,44,DSTRCT1,5.44,0.20
JD30,JD78,CAR,83,65,DSTRCT2,2.26,0.20
BB26,BA92,BUS,212,28,DSTRCT1,1.32,0.08
BB07,JD28,BUS,248,21,DSTRCT7,1.16,0.08
JC27,TC96,BUS,77,39,DSTRCT4,0.67,0.08
BB65,JC70,BUS,148,37,DSTRCT1,1.22,0.08
JC78,JC03,CAR,119,71,DSTRCT5,3.54,0.20
JD54,BA43,CAR,172,67,DSTRCT6,4.82,0.20
TC94,BA34,BUS,125,39,DSTRCT5,1.08,0.08
JC64,JD00,CAR,90,65,DSTRCT0,2.45,0.20
JD99,JD34,BUS,350,21,DSTRCT8,1.63,0.08
TC24,JD14,CAR,262,41,DSTRCT6,4.49,0.20
JD92,JC81,CAR,198,45,DSTRCT3,3.72,0.20
BB15,BB84,BUS,325,24,DSTRCT4,1.73,0.08
JC90,BA79,CAR,70,58,DSTRCT5,1.71,0.20
BA99,JD82,CAR,189,48,DSTRCT5,3.78,0.20
BA15,TC29,CAR,12,74,DSTRCT5,0.39,0.20
JD76,BB41,BUS,183,37,DSTRCT0,1.51,0.08
BB58,TC50,CAR,160,61,DSTRCT0,4.08,0.20
BB64,JC58,CAR,103,59,DSTRCT6,2.55,0.20
TC49,BB88,CAR,172,75,DSTRCT7,5.40,0.20
TC15,BA94,CAR,273,40,DSTRCT5,4.56,0.20
TC61,TC06,CAR,129,48,DSTRCT2,2.59,0.20
JC49,JD20,BUS,180,34,DSTRCT5,1.36,0.08
JD19,JC03,BUS,468,20,DSTRCT6,2.08,0.08
JD79,JD97,BUS,59,34,DSTRCT4,0.45,0.08
BB47,BA61,CAR,148,47,DSTRCT4,2.90,0.20
TC42,BA88,CAR,180,40,DSTRCT9,3.01,0.20
JD47,JD77,BUS,106,32,DSTRCT0,0.75,0.08
JD30,BA40,CAR,130,74,DSTRCT3,4.02,0.20
BB98,TC99,BUS,446,20,DSTRCT2,1.98,0.08
JD80,BA61,BUS,616,20,DSTRCT3,2.74,0.08
JD97,BA17,BUS,531,35,DSTRCT5,4.13,0.08
JC49,JC24,CAR,51,55,DSTRCT9,1.18,0.20
JD00,JC95,BUS,262,29,DSTRCT6,1.69,0.08
JD78,BA67,CAR,282,41,DSTRCT8,4.82,0.20
JD62,BA64,BUS,398,26,DSTRCT3,2.30,0.08
BA91,JC31,CAR,63,64,DSTRCT7,1.68,0.20
JC35,TC38,BUS,164,27,DSTRCT8,0.99,0.08
JC85,BB56,CAR,77,65,DSTRCT7,2.09,0.20
BA83,JD61,CAR,120,72,DSTRCT2,3.62,0.20
JD24,JC37,CAR,97,72,DSTRCT3,2.93,0.20
BB29,JD12,CAR,17,61,DSTRCT2,0.45,0.20
JD90,BA21,CAR,316,55,DSTRCT9,7.26,0.20
TC38,JD10,CAR,124,73,DSTRCT4,3.78,0.20
TC21,BB37,CAR,230,46,DSTRCT1,4.41,0.20
TC12,JC00,CAR,48,71,DSTRCT4,1.43,0.20
JC27,BB53,BUS,263,29,DSTRCT3,1.70,0.08
BA87,JD79,CAR,163,60,DSTRCT4,4.10,0.20
BB51,JC01,CAR,133,74,DSTRCT5,4.11,0.20
JC48,JD08,BUS,262,22,DSTRCT0,1.28,0.08
BA47,JC25,BUS,25,28,DSTRCT3,0.16,0.08
JC78,JC49,CAR,54,60,DSTRCT6,1.37,0.20
BB89,JD67,BUS,18,39,DSTRCT1,0.16,0.08
JC67,JC19,CAR,70,77,DSTRCT3,2.26,0.20
JD64,TC33,BUS,623,24,DSTRCT6,3.33,0.08
BA41,JD84,BUS,507,29,DSTRCT9,3.27,0.08
JC38,JC18,CAR,37,60,DSTRCT1,0.94,0.20
TC74,BB76,CAR,204,45,DSTRCT6,3.84,0.20
JC21,TC12,BUS,290,20,DSTRCT0,1.29,0.08
JC06,JC46,CAR,62,72,DSTRCT5,1.89,0.20
BA65,BB09,CAR,101,56,DSTRCT2,2.37,0.20
JD57,JC04,CAR,301,43,DSTRCT0,5.39,0.20
JD18,BB57,CAR,27,64,DSTRCT1,0.72,0.20
JC36,BA94,CAR,66,57,DSTRCT4,1.59,0.20
BB93,JD91,CAR,61,43,DSTRCT5,1.11,0.20
BA42,BA52,CAR,14,76,DSTRCT2,0.47,0.20
JC89,JC47,CAR,73,65,DSTRCT3,1.98,0.20
JC25,BA61,BUS,51,28,DSTRCT8,0.32,0.08
JD68,JC16,BUS,475,27,DSTRCT7,2.85,0.08
TC40,BB63,BUS,471,24,DSTRCT6,2.51,0.08
BA04,JD10,CAR,198,56,DSTRCT9,4.62,0.20
TC25,JD94,CAR,260,73,DSTRCT3,7.93,0.20
BA86,TC76,BUS,115,28,DSTRCT8,0.72,0.08
BA65,JD09,CAR,107,62,DSTRCT3,2.77,0.20
BB75,BB67,CAR,12,74,DSTRCT0,0.38,0.20
JD32,TC40,BUS,304,36,DSTRCT9,2.44,0.08
