id,lat,lon,type
J01,3.1488,101.6961,JUNCTION
J02,3.1470,101.7115,JUNCTION
J03,3.1578,101.7119,JUNCTION
J04,3.1335,101.6861,JUNCTION
J05,3.1427,101.6957,JUNCTION
J06,3.1494,101.6941,JUNCTION
J07,3.1442,101.6979,JUNCTION
J08,3.1528,101.7038,JUNCTION
J09,3.1460,101.6952,JUNCTION
J10,3.1600,101.7050,JUNCTION
J11,3.1603,101.7014,JUNCTION
J12,3.1760,101.7330,JUNCTION
J13,3.1675,101.7180,JUNCTION
BS01,3.1480,101.6968,BUS_STOP
BS02,3.1465,101.7110,BUS_STOP
BS03,3.1580,101.7125,BUS_STOP
BS04,3.1340,101.6868,BUS_STOP
BS05,3.1420,101.6965,BUS_STOP
BS06,3.1498,101.6935,BUS_STOP
BS07,3.1445,101.6985,BUS_STOP
BS08,3.1530,101.7045,BUS_STOP
BS09,3.1455,101.6958,BUS_STOP
BS10,3.1605,101.7040,BUS_STOP
BS11,3.1600,101.7018,BUS_STOP
BS12,3.1755,101.7325,BUS_STOP
BS13,3.1678,101.7175,BUS_STOP
TS01,3.1594,101.7125,TRAIN_STATION
TS02,3.1478,101.7107,TRAIN_STATION
TS03,3.1338,101.6868,TRAIN_STATION
TS04,3.1425,101.6948,TRAIN_STATION
TS05,3.1492,101.6935,TRAIN_STATION
