id,lat,lon,type
JC00,3.1488,101.6961,JUNCTION
JC01,3.1490,101.6963,JUNCTION
JC02,3.1492,101.6965,JUNCTION
JC03,3.1494,101.6967,JUNCTION
JC04,3.1496,101.6969,JUNCTION
JC05,3.1498,101.6971,JUNCTION
JC06,3.1500,101.6973,JUNCTION
JC07,3.1502,101.6975,JUNCTION
JC08,3.1504,101.6977,JUNCTION
JC09,3.1506,101.6979,JUNCTION
JC10,3.1508,101.6981,JUNCTION
JC11,3.1510,101.6983,JUNCTION
JC12,3.1512,101.6985,JUNCTION
JC13,3.1514,101.6987,JUNCTION
JC14,3.1516,101.6989,JUNCTION
JC15,3.1518,101.6991,JUNCTION
JC16,3.1520,101.6993,JUNCTION
JC17,3.1522,101.6995,JUNCTION
JC18,3.1524,101.6997,JUNCTION
JC19,3.1526,101.6999,JUNCTION
JC20,3.1528,101.7001,JUNCTION
JC21,3.1530,101.7003,JUNCTION
JC22,3.1532,101.7005,JUNCTION
JC23,3.1534,101.7007,JUNCTION
JC24,3.1536,101.7009,JUNCTION
JC25,3.1538,101.7011,JUNCTION
JC26,3.1540,101.7013,JUNCTION
JC27,3.1542,101.7015,JUNCTION
JC28,3.1544,101.7017,JUNCTION
JC29,3.1546,101.7019,JUNCTION
JC30,3.1548,101.7021,JUNCTION
JC31,3.1550,101.7023,JUNCTION
JC32,3.1552,101.7025,JUNCTION
JC33,3.1554,101.7027,JUNCTION
JC34,3.1556,101.7029,JUNCTION
JC35,3.1558,101.7031,JUNCTION
JC36,3.1560,101.7033,JUNCTION
JC37,3.1562,101.7035,JUNCTION
JC38,3.1564,101.7037,JUNCTION
JC39,3.1566,101.7039,JUNCTION
JC40,3.1568,101.7041,JUNCTION
JC41,3.1570,101.7043,JUNCTION
JC42,3.1572,101.7045,JUNCTION
JC43,3.1574,101.7047,JUNCTION
JC44,3.1576,101.7049,JUNCTION
JC45,3.1578,101.7051,JUNCTION
JC46,3.1580,101.7053,JUNCTION
JC47,3.1582,101.7055,JUNCTION
JC48,3.1584,101.7057,JUNCTION
JC49,3.1586,101.7059,JUNCTION
JC50,3.1588,101.7061,JUNCTION
JC51,3.1590,101.7063,JUNCTION
JC52,3.1592,101.7065,JUNCTION
JC53,3.1594,101.7067,JUNCTION
JC54,3.1596,101.7069,JUNCTION
JC55,3.1598,101.7071,JUNCTION
JC56,3.1600,101.7073,JUNCTION
JC57,3.1602,101.7075,JUNCTION
JC58,3.1604,101.7077,JUNCTION
JC59,3.1606,101.7079,JUNCTION
JC60,3.1608,101.7081,JUNCTION
JC61,3.1610,101.7083,JUNCTION
JC62,3.1612,101.7085,JUNCTION
JC63,3.1614,101.7087,JUNCTION
JC64,3.1616,101.7089,JUNCTION
JC65,3.1618,101.7091,JUNCTION
